omega_eV,CsGeCl3_d0.1,CsGeCl3_d0.15,CsGeCl3_d0.2,CsGeBr3_d0.1,CsGeBr3_d0.15,CsGeBr3_d0.2,CsGeI3_d0.1,CsGeI3_d0.15,CsGeI3_d0.2,CsSnCl3_d0.1,CsSnCl3_d0.15,CsSnCl3_d0.2,CsSnBr3_d0.1,CsSnBr3_d0.15,CsSnBr3_d0.2,CsSnI3_d0.1,CsSnI3_d0.15,CsSnI3_d0.2,CsPbCl3_d0.1,CsPbCl3_d0.15,CsPbCl3_d0.2,CsPbBr3_d0.1,CsPbBr3_d0.15,CsPbBr3_d0.2,CsPbI3_d0.1,CsPbI3_d0.15,CsPbI3_d0.2
4.35552,-3.430613e-02,-6.869239e-02,-1.087441e-01,5.270275e-01,7.662367e-01,9.748004e-01,-6.796619e-02,-1.129596e-01,-1.726157e-01,-1.269967e-01,-1.938531e-01,-2.625300e-01,2.206191e-01,1.530833e-01,4.207651e-02,5.588428e-02,7.531018e-02,8.855129e-02,-7.331727e-02,-1.102249e-01,-1.468281e-01,1.807014e-01,2.272930e-01,2.171561e-01,2.400352e-01,3.423332e-01,4.354152e-01
4.37124,-3.081846e-02,-6.441276e-02,-1.038709e-01,5.076096e-01,7.397670e-01,9.431872e-01,-7.019554e-02,-1.157188e-01,-1.749390e-01,-1.246365e-01,-1.906228e-01,-2.587599e-01,2.375891e-01,1.754628e-01,6.590444e-02,5.127397e-02,6.833563e-02,7.891491e-02,-7.333637e-02,-1.102534e-01,-1.468825e-01,1.857241e-01,2.355091e-01,2.292941e-01,2.236736e-01,3.183191e-01,4.035023e-01
4.38696,-2.719062e-02,-6.001373e-02,-9.887246e-02,4.888742e-01,7.138927e-01,9.124631e-01,-7.221664e-02,-1.184938e-01,-1.774180e-01,-1.220815e-01,-1.870553e-01,-2.545347e-01,2.535012e-01,1.970308e-01,8.935165e-02,4.675321e-02,6.173632e-02,7.007338e-02,-7.334430e-02,-1.102899e-01,-1.469446e-01,1.906820e-01,2.436923e-01,2.414283e-01,2.083502e-01,2.958834e-01,3.736586e-01
4.40268,-2.338217e-02,-5.546298e-02,-9.372032e-02,4.709009e-01,6.887483e-01,8.823439e-01,-7.394231e-02,-1.210467e-01,-1.799027e-01,-1.194263e-01,-1.832604e-01,-2.499191e-01,2.684644e-01,2.177678e-01,1.122486e-01,4.227774e-02,5.527007e-02,6.177663e-02,-7.333071e-02,-1.103144e-01,-1.470148e-01,1.954344e-01,2.516485e-01,2.534291e-01,1.939259e-01,2.748778e-01,3.458642e-01
4.41839,-1.936825e-02,-5.073136e-02,-8.839744e-02,4.536948e-01,6.644925e-01,8.527593e-01,-7.532935e-02,-1.232101e-01,-1.822415e-01,-1.167731e-01,-1.793770e-01,-2.450459e-01,2.826512e-01,2.377523e-01,1.345607e-01,3.790007e-02,4.881332e-02,5.372625e-02,-7.331197e-02,-1.103245e-01,-1.470804e-01,1.998657e-01,2.591832e-01,2.651017e-01,1.802317e-01,2.550308e-01,3.198513e-01
4.43411,-1.514531e-02,-4.581744e-02,-8.290770e-02,4.371648e-01,6.411934e-01,8.238758e-01,-7.634731e-02,-1.248701e-01,-1.842658e-01,-1.142150e-01,-1.755433e-01,-2.400778e-01,2.962824e-01,2.571319e-01,1.563840e-01,3.371972e-02,4.239838e-02,4.566031e-02,-7.330622e-02,-1.103358e-01,-1.471367e-01,2.038496e-01,2.661153e-01,2.762204e-01,1.671353e-01,2.360716e-01,2.952154e-01
4.44983,-1.071134e-02,-4.074172e-02,-7.728140e-02,4.211387e-01,6.187649e-01,7.959643e-01,-7.698433e-02,-1.259519e-01,-1.857881e-01,-1.118181e-01,-1.718739e-01,-2.351675e-01,3.096006e-01,2.760959e-01,1.778936e-01,2.982952e-02,3.619584e-02,3.746791e-02,-7.331576e-02,-1.103673e-01,-1.471994e-01,2.072104e-01,2.722452e-01,2.865520e-01,1.545853e-01,2.178431e-01,2.715912e-01
4.46555,-6.046082e-03,-3.551826e-02,-7.155982e-02,4.053997e-01,5.969730e-01,7.691994e-01,-7.727951e-02,-1.264382e-01,-1.866369e-01,-1.096037e-01,-1.684366e-01,-2.304321e-01,3.228467e-01,2.948450e-01,1.992874e-01,2.627462e-02,3.042989e-02,2.927638e-02,-7.334358e-02,-1.104353e-01,-1.473032e-01,2.097110e-01,2.773077e-01,2.958301e-01,1.426043e-01,2.003407e-01,2.488043e-01
4.48127,-1.108354e-03,-3.013603e-02,-6.577127e-02,3.897427e-01,5.754944e-01,7.435216e-01,-7.734709e-02,-1.264019e-01,-1.867189e-01,-1.075441e-01,-1.652366e-01,-2.259386e-01,3.362586e-01,3.135724e-01,2.207475e-01,2.304024e-02,2.526638e-02,2.142807e-02,-7.340261e-02,-1.105519e-01,-1.474780e-01,2.110925e-01,2.809677e-01,3.037138e-01,1.312538e-01,1.836600e-01,2.269045e-01
4.49699,4.161989e-03,-2.455959e-02,-5.991798e-02,3.740512e-01,5.540066e-01,7.186294e-01,-7.736717e-02,-1.260282e-01,-1.860763e-01,-1.055763e-01,-1.622186e-01,-2.216941e-01,3.500931e-01,3.324760e-01,2.424210e-01,2.006891e-02,2.074253e-02,1.432380e-02,-7.348813e-02,-1.107092e-01,-1.477187e-01,2.111610e-01,2.828934e-01,3.098025e-01,1.206115e-01,1.679205e-01,2.060726e-01
4.51271,9.852899e-03,-1.872917e-02,-5.397531e-02,3.583753e-01,5.322945e-01,6.940747e-01,-7.754100e-02,-1.256118e-01,-1.849159e-01,-1.036313e-01,-1.592934e-01,-2.176470e-01,3.646576e-01,3.517966e-01,2.644273e-01,1.728437e-02,1.676392e-02,8.223797e-03,-7.356325e-02,-1.108670e-01,-1.479823e-01,2.098715e-01,2.828784e-01,3.137256e-01,1.107550e-01,1.532308e-01,1.864955e-01
4.52843,1.609485e-02,-1.254765e-02,-4.789014e-02,3.429542e-01,5.103630e-01,6.693989e-01,-7.802677e-02,-1.255029e-01,-1.836016e-01,-1.016645e-01,-1.563783e-01,-2.137105e-01,3.803293e-01,3.718469e-01,2.868998e-01,1.460186e-02,1.314508e-02,3.131559e-03,-7.359522e-02,-1.109763e-01,-1.482124e-01,2.073447e-01,2.809304e-01,3.152601e-01,1.017202e-01,1.396694e-01,1.682962e-01
4.54415,2.306421e-02,-5.865895e-03,-4.157056e-02,3.281301e-01,4.885043e-01,6.442722e-01,-7.888093e-02,-1.259933e-01,-1.826004e-01,-9.967447e-02,-1.534336e-01,-2.098026e-01,3.975351e-01,3.930080e-01,3.100390e-01,1.192728e-02,9.664202e-03,-1.192326e-03,-7.359273e-02,-1.110244e-01,-1.483716e-01,2.038041e-01,2.772625e-01,3.144007e-01,9.345211e-02,1.272384e-01,1.515178e-01
4.55987,3.096448e-02,1.512898e-03,-3.487364e-02,3.141902e-01,4.672322e-01,6.186359e-01,-8.003186e-02,-1.271926e-01,-1.823646e-01,-9.769724e-02,-1.504764e-01,-2.058818e-01,4.166985e-01,4.156866e-01,3.341372e-01,9.161794e-03,6.114082e-03,-5.126990e-03,-7.358836e-02,-1.110447e-01,-1.484646e-01,1.994808e-01,2.721979e-01,3.113542e-01,8.579079e-02,1.158144e-01,1.361007e-01
4.57559,3.999497e-02,9.802788e-03,-2.760630e-02,3.012511e-01,4.470815e-01,5.928007e-01,-8.130970e-02,-1.289711e-01,-1.831708e-01,-9.578156e-02,-1.475657e-01,-2.019633e-01,4.381782e-01,4.402576e-01,3.595443e-01,6.231148e-03,2.339957e-03,-9.059662e-03,-7.359340e-02,-1.110753e-01,-1.485325e-01,1.945549e-01,2.660580e-01,3.064709e-01,7.852233e-02,1.051541e-01,1.218522e-01
4.59130,5.033006e-02,1.919522e-02,-1.955102e-02,2.892599e-01,4.283891e-01,5.673975e-01,-8.252802e-02,-1.310222e-01,-1.849980e-01,-9.396091e-02,-1.447686e-01,-1.981117e-01,4.622058e-01,4.670269e-01,3.866029e-01,3.130255e-03,-1.732303e-03,-1.327513e-02,-7.359050e-02,-1.111218e-01,-1.486213e-01,1.891635e-01,2.590997e-01,3.001404e-01,7.148149e-02,9.498360e-02,1.084725e-01
4.60702,6.212051e-02,2.983687e-02,-1.050986e-02,2.780868e-01,4.111901e-01,5.431424e-01,-8.356441e-02,-1.330122e-01,-1.875356e-01,-9.223963e-02,-1.421277e-01,-1.944117e-01,4.888003e-01,4.962237e-01,4.156101e-01,-6.793630e-05,-6.075592e-03,-1.790455e-02,-7.357197e-02,-1.111696e-01,-1.487517e-01,1.834381e-01,2.515203e-01,2.927008e-01,6.463786e-02,8.513116e-02,9.566593e-02
4.62274,7.550464e-02,4.183890e-02,-3.401727e-04,2.676084e-01,3.952802e-01,5.205511e-01,-8.437981e-02,-1.347082e-01,-1.903256e-01,-9.060087e-02,-1.396470e-01,-1.909299e-01,5.176404e-01,5.279673e-01,4.468196e-01,-3.263708e-03,-1.057056e-02,-2.293747e-02,-7.356654e-02,-1.112245e-01,-1.489190e-01,1.775138e-01,2.435022e-01,2.844141e-01,5.808821e-02,7.561105e-02,8.327937e-02
4.63846,9.060494e-02,5.530558e-02,1.104311e-02,2.577229e-01,3.803688e-01,4.997776e-01,-8.497826e-02,-1.360062e-01,-1.929437e-01,-8.902444e-02,-1.373022e-01,-1.876878e-01,5.479317e-01,5.621633e-01,4.804485e-01,-6.393216e-03,-1.506291e-02,-2.826173e-02,-7.361810e-02,-1.113246e-01,-1.491213e-01,1.715045e-01,2.352417e-01,2.755082e-01,5.195546e-02,6.657931e-02,7.136826e-02
4.65418,1.074934e-01,7.035074e-02,2.369618e-02,2.483193e-01,3.661976e-01,4.806340e-01,-8.535880e-02,-1.368820e-01,-1.951013e-01,-8.749577e-02,-1.350593e-01,-1.846596e-01,5.784012e-01,5.983627e-01,5.166374e-01,-9.441206e-03,-1.943970e-02,-3.370566e-02,-7.374656e-02,-1.115077e-01,-1.493778e-01,1.654846e-01,2.269243e-01,2.662249e-01,4.628107e-02,5.818922e-02,6.012760e-02
4.66990,1.261384e-01,8.707723e-02,3.767792e-02,2.392564e-01,3.525741e-01,4.627254e-01,-8.550135e-02,-1.373331e-01,-1.966384e-01,-8.600344e-02,-1.328882e-01,-1.817908e-01,6.075196e-01,6.356839e-01,5.553427e-01,-1.239893e-02,-2.366328e-02,-3.909182e-02,-7.393076e-02,-1.117747e-01,-1.497105e-01,1.594873e-01,2.186705e-01,2.568096e-01,4.099339e-02,5.046569e-02,4.973637e-02
4.68562,1.463733e-01,1.055283e-01,5.305768e-02,2.303850e-01,3.393523e-01,4.456131e-01,-8.539280e-02,-1.373572e-01,-1.974749e-01,-8.453513e-02,-1.307636e-01,-1.790233e-01,6.338709e-01,6.728864e-01,5.962000e-01,-1.521559e-02,-2.773375e-02,-4.429494e-02,-7.411637e-02,-1.120794e-01,-1.501098e-01,1.534934e-01,2.104958e-01,2.474314e-01,3.595391e-02,4.328220e-02,4.023330e-02
4.70134,1.679163e-01,1.256488e-01,6.989308e-02,2.216028e-01,3.264174e-01,4.289467e-01,-8.506506e-02,-1.369686e-01,-1.975892e-01,-8.307570e-02,-1.286595e-01,-1.763051e-01,6.564337e-01,7.085860e-01,6.384272e-01,-1.779367e-02,-3.161763e-02,-4.926025e-02,-7.424133e-02,-1.123477e-01,-1.505226e-01,1.474154e-01,2.022977e-01,2.381008e-01,3.103274e-02,3.642793e-02,3.149158e-02
4.71706,1.904338e-01,1.472885e-01,8.819524e-02,2.128970e-01,3.137039e-01,4.125343e-01,-8.460683e-02,-1.362291e-01,-1.970270e-01,-8.160608e-02,-1.265437e-01,-1.735854e-01,6.746356e-01,7.414931e-01,6.808252e-01,-2.003469e-02,-3.521587e-02,-5.396235e-02,-7.427106e-02,-1.125157e-01,-1.508778e-01,1.411221e-01,1.938809e-01,2.286555e-01,2.617379e-02,2.971091e-02,2.327290e-02
4.73278,2.136172e-01,1.702451e-01,1.079119e-01,2.043367e-01,3.012271e-01,3.963452e-01,-8.413973e-02,-1.352677e-01,-1.959056e-01,-8.010828e-02,-1.243831e-01,-1.708125e-01,6.882547e-01,7.705621e-01,7.218960e-01,-2.189807e-02,-3.840571e-02,-5.835144e-02,-7.421851e-02,-1.125666e-01,-1.511251e-01,1.345051e-01,1.850331e-01,2.188288e-01,2.141759e-02,2.304380e-02,1.531861e-02
4.74849,2.372487e-01,1.943227e-01,1.289478e-01,1.960258e-01,2.890826e-01,3.804696e-01,-8.378379e-02,-1.342673e-01,-1.943986e-01,-7.857777e-02,-1.221629e-01,-1.679487e-01,6.973154e-01,7.950477e-01,7.600561e-01,-2.343118e-02,-4.111690e-02,-6.234723e-02,-7.413431e-02,-1.125410e-01,-1.512638e-01,1.275397e-01,1.756252e-01,2.083548e-01,1.686085e-02,1.646561e-02,7.440709e-03
4.76421,2.612428e-01,2.193771e-01,1.512068e-01,1.880569e-01,2.773936e-01,3.650610e-01,-8.363438e-02,-1.334203e-01,-1.927173e-01,-7.703107e-02,-1.199014e-01,-1.649945e-01,7.020470e-01,8.145221e-01,7.939098e-01,-2.475513e-02,-4.337861e-02,-6.588223e-02,-7.408429e-02,-1.125211e-01,-1.513524e-01,1.203050e-01,1.656769e-01,1.970743e-01,1.258284e-02,1.009000e-02,-4.256166e-04
4.77993,2.856522e-01,2.453393e-01,1.746223e-01,1.804924e-01,2.662418e-01,3.502766e-01,-8.374834e-02,-1.328802e-01,-1.910939e-01,-7.550111e-02,-1.176465e-01,-1.619989e-01,7.028512e-01,8.288857e-01,8.225149e-01,-2.602008e-02,-4.531328e-02,-6.894537e-02,-7.413032e-02,-1.126007e-01,-1.514915e-01,1.129672e-01,1.553589e-01,1.850127e-01,8.602952e-03,4.028533e-03,-8.225004e-03
4.79565,3.106400e-01,2.722229e-01,1.991665e-01,1.733637e-01,2.556400e-01,3.362241e-01,-8.412944e-02,-1.327325e-01,-1.897491e-01,-7.402689e-02,-1.154600e-01,-1.590463e-01,7.002243e-01,8.383531e-01,8.455197e-01,-2.736028e-02,-4.709740e-02,-7.159390e-02,-7.430989e-02,-1.128498e-01,-1.517837e-01,1.057245e-01,1.449388e-01,1.724000e-01,4.901680e-03,-1.648569e-03,-1.582172e-02
4.81137,3.364209e-01,3.001160e-01,2.248559e-01,1.666720e-01,2.455598e-01,3.229290e-01,-8.471975e-02,-1.329842e-01,-1.888372e-01,-7.264248e-02,-1.133999e-01,-1.562278e-01,6.946670e-01,8.433726e-01,8.631115e-01,-2.886688e-02,-4.891738e-02,-7.394436e-02,-7.461004e-02,-1.132801e-01,-1.522845e-01,9.874042e-02,1.346923e-01,1.596062e-01,1.469526e-03,-6.898541e-03,-2.304644e-02
